name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created,location,verified
JoseRMas,'389827189,24684,2017,Jos Ramon Mas,292,61,en,2011/10/13 01:52,,FALSE
LKurzius,'1436343925,32096,2017,Lawrence E. Kurzius,182,39,en,2013/5/17 18:10,,FALSE
SteveEasterbrk,'2872869473,50557,2017,Stephen J. Easterbrook,13505,21,en,2014/11/11 20:50,"Chicago, IL",TRUE
clive_meanwell,'3410268473,44567,2017,Clive A. Meanwell,78,45,en,2015/8/9 12:34,,FALSE
MRCY_CEO,'705135558201360384,35903,2017,Mark Aslett,105,72,en,2016/3/2 20:59,,FALSE
satyanadella,'20571756,47866,2017,Satya Nadella,1896576,233,en,2009/2/11 04:45,,TRUE
michael_saylor,'244647486,18581,2017,Michael J. Saylor,131910,218,en,2011/1/29 20:11,"Tysons Corner, VA",TRUE
JocOrourke,'396586414,44925,2017,James C. ORourke,105,98,en,2011/10/23 13:52,,FALSE
gregbrownmoto,'254144341,26740,2017,Gregory Q. Brown,3766,31,en,2011/2/18 18:01,"Chicago, Illinois",TRUE
Bill_Nuti,'492747625,30276,2017,William R. Nuti,5255,5433,en,2012/2/15 02:34,"Atlanta, GA",FALSE
NRGMauricio,'726131988772610048,42731,2017,Mauricio Gutierrez,8338,186,en,2016/4/29 19:32,"Princeton, NJ",TRUE
adenatfriedman,'2810270363,35980,2017,Adena T. Friedman,10936,3409,en,2014/10/6 13:08,"New York, NY",TRUE
reedhastings,'15241557,32861,2017,"Wilmot Reed Hastings, Jr.",47939,83,en,2008/6/26 07:24,,TRUE
MichaelPolk55,'717367242367844353,45243,2017,Michael B. Polk,11,29,en,2016/4/5 15:04,"New Jersey, USA",FALSE
rod_hershberger,'3346562993,49405,2017,Rodney Hershberger,35,46,en,2015/6/26 14:20,,FALSE
MrColinShannon,'2824122886,60380,2017,Colin Shannon,1002,269,en,2014/10/12 01:33,,FALSE
JimHeppelmann,'3130900821,24935,2017,James E. Heppelmann,2246,583,en,2015/4/1 02:02,"Boston, MA",FALSE
IAmPapaJohn,'413457123,17117,2017,John H. Schnatter,12599,24,en,2011/11/15 22:25,,TRUE
Dan_Schulman,'600159484,51420,2017,Daniel H. Schulman,10462,57,en,2012/6/5 14:39,New York,TRUE
MarvinREllison,'2413051784,50097,2017,Marvin R. Ellison,20240,11,en,2014/3/26 19:44,,FALSE
IndraNooyi,'2652536876,18812,2017,Indra K. Nooyi,72616,174,en,2014/7/17 01:35,,TRUE
JoeBBurton,'214195952,46177,2017,Joseph B. Burton,1976,823,en,2010/11/10 20:21,Global,FALSE
yogeshgupta1,'17872001,54830,2017,Yogesh Gupta,326,37,en,2008/12/4 16:58,,FALSE
VickiMHolt,'3130889372,52397,2017,Victoria M. Holt,678,401,en,2015/4/2 14:24,,FALSE
stevemollenkopf,'2352239539,38760,2017,Steven M. Mollenkopf,3495,78,en,2014/2/19 20:48,"San Diego, CA",TRUE
pcourtot,'29591744,52092,2017,Philippe F. Courtot,68,116,en,2009/4/8 00:36,,FALSE
"dougquinstreet, dvalentiquinstr, dougvquinstreet",'721544786822373376,46286,2017,Douglas Valenti,1,217,en,2016/4/17 03:44,,FALSE
DaveLiniger,'84450634,52168,2017,David L. Liniger,4839,4,en,2009/10/22 23:20,"Castle Rock, CO",FALSE
DPosted,'857353406,47411,2017,Denny Marie Post,581,69,en,2012/10/2 02:12,"Denver, CO",FALSE
ResMedMick,'1345287433,47964,2017,"Michael J. Farrell, BE, SM, MBA",2304,860,en,2013/4/11 20:55,San Diego,FALSE
EddieLehner,'490907307,46695,2017,Edward J. Lehner,41,69,en,2012/2/13 01:36,"Shaker Heights, OH",FALSE
sz135,'1109391452927188992,33187,2017,Stephen T. Zarrilli,36,107,ja,2019/3/23 09:48,,FALSE
Benioff,'22330739,37655,2017,Marc R. Benioff,996808,2631,en,2009/3/1 04:16,All tweets are my own!,TRUE
